"locationTags.href","locationTags.text"
"https://www.tripadvisor.in/Attraction_Review-g1092070-d4138930-Reviews-Sernabatim_Beach-Bogmalo_Goa.html","Sernabatim Beach"
"https://www.tripadvisor.in/Attraction_Review-g303877-d6104757-Reviews-Bishop_s_Palace-Panaji_Goa.html","Bishop's Palace"
"https://www.tripadvisor.in/Attraction_Review-g303877-d3705615-Reviews-Odxel_Beach-Panaji_Goa.html","Odxel Beach"
"https://www.tripadvisor.in/Attraction_Review-g1127378-d2536514-Reviews-Casa_Araujo_Alvares-Loutolim_Goa.html","Casa Araujo Alvares"
"https://www.tripadvisor.in/Attraction_Review-g2307943-d3928346-Reviews-Our_Lady_of_Mount_Carmel_Church-Arambol_Goa.html","Our Lady of Mount Carmel Church"
"https://www.tripadvisor.in/Attraction_Review-g1152662-d1818819-Reviews-Rachol_Seminary-Margao_Goa.html","Rachol Seminary"
"https://www.tripadvisor.in/Attraction_Review-g303877-d4421879-Reviews-Chorao_Island-Panaji_Goa.html","Chorao Island"
"https://www.tripadvisor.in/Attraction_Review-g297604-d2534673-Reviews-Museum_of_Christian_Art-Goa.html","Museum of Christian Art"
"https://www.tripadvisor.in/Attraction_Review-g4444110-d7721321-Reviews-Netravali_Waterfall-Netravali_Goa.html","Netravali Waterfall"
"https://www.tripadvisor.in/Attraction_Review-g303877-d1369954-Reviews-Anjum_Beach-Panaji_Goa.html","Anjum Beach"
"https://www.tripadvisor.in/Attraction_Review-g303877-d4155778-Reviews-Crown_Casino-Panaji_Goa.html","Crown Casino"
"https://www.tripadvisor.in/Attraction_Review-g1204880-d2665599-Reviews-Vasco_s_Municipal_Market-Vasco_da_Gama_Goa.html","Vasco's Municipal Market"
"https://www.tripadvisor.in/Attraction_Review-g297604-d2639747-Reviews-The_Archaeological_Museum_Old_Goa-Goa.html","The Archaeological Museum, Old Goa"
"https://www.tripadvisor.in/Attraction_Review-g1204880-d4401222-Reviews-St_Andrews_Church-Vasco_da_Gama_Goa.html","St. Andrews Church"
"https://www.tripadvisor.in/Attraction_Review-g1152662-d4138922-Reviews-Sri_Chandranath_Temple-Margao_Goa.html","Sri Chandranath Temple"
"https://www.tripadvisor.in/Attraction_Review-g1438385-d3269869-Reviews-Kalacha_Beach-Mapusa_Goa.html","Kalacha Beach"
"https://www.tripadvisor.in/Attraction_Review-g303877-d4401209-Reviews-Saptakoteshwar_Temple-Panaji_Goa.html","Saptakoteshwar Temple"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c42-t139-Goa.html","Sightseeing Tours (12)"
"https://www.tripadvisor.in/Attraction_Review-g1438385-d4401183-Reviews-Bodhgeshwar_Temple-Mapusa_Goa.html","Bodhgeshwar Temple"
"https://www.tripadvisor.in/Attraction_Review-g1152662-d7902890-Reviews-Margao_Municipal_Park-Margao_Goa.html","Margao Municipal Park"
"https://www.tripadvisor.in/Attraction_Review-g306996-d8097974-Reviews-Talpona_Beach-Canacona_Goa.html","Talpona Beach"
"https://www.tripadvisor.in/Attraction_Review-g1204880-d3140393-Reviews-Baina_Beach-Vasco_da_Gama_Goa.html","Baina Beach"
"https://www.tripadvisor.in/Attraction_Review-g1087527-d2390261-Reviews-Chances_Casino_and_Club-Dona_Paula_Goa.html","Chances Casino and Club"
"https://www.tripadvisor.in/Attraction_Review-g2037406-d9712725-Reviews-Tambadi_Surla_Mahadev_Temple-Sanguem_Goa.html","Tambadi Surla Mahadev Temple"
"https://www.tripadvisor.in/Attraction_Review-g1204880-d6104647-Reviews-Japnese_Garden-Vasco_da_Gama_Goa.html","Japnese Garden"
"https://www.tripadvisor.in/Attraction_Review-g1204880-d4421986-Reviews-Zuari_River-Vasco_da_Gama_Goa.html","Zuari River"
